feature,frequency,rank,docfreq,group
tad_bit_look,49,586,49,all
bit_look_way,49,587,49,all
look_way_better,49,588,49,all
way_better_though,49,589,49,all
thank_everyon_amaz,49,590,49,all
everyon_amaz_night,49,591,49,all
amaz_night_last,49,592,49,all
night_last_night,49,593,49,all
last_night_levittown,49,594,49,all
night_levittown_st,49,595,49,all
levittown_st_paul,49,596,49,all
st_paul_church,49,597,49,all
quick_test_feel,49,598,49,all
test_feel_st,49,599,49,all
feel_st_loui,49,600,49,all
st_loui_nelson,49,601,49,all
loui_nelson_boulevard,49,602,49,all
nelson_boulevard_beer,49,603,49,all
show_start_alreadi,49,604,49,all
start_alreadi_hate,49,605,49,all
alreadi_hate_around,49,606,49,all
hate_around_peopl,49,607,49,all
around_peopl_kid,49,608,49,all
peopl_kid_school,49,609,49,all
kid_school_show,49,610,49,all
just_name_memoir,49,611,49,all
name_memoir_mysql,49,612,49,all
soo_sad_news,49,613,49,all
sad_news_hear,49,614,49,all
news_hear_true,49,615,49,all
hear_true_realli,49,616,49,all
true_realli_hope,49,617,49,all
realli_hope_see,49,618,49,all
hope_see_nxt,49,619,49,all
see_nxt_season,49,620,49,all
can_anyon_help,49,621,49,all
team_just_sustain,49,622,49,all
just_sustain_ballmer,49,623,49,all
sustain_ballmer_peak,49,624,49,all
ballmer_peak_hour,49,625,49,all
ponder_inner_know,49,626,49,all
inner_know_trust,49,627,49,all
know_trust_instinct,49,628,49,all
trust_instinct_via,49,629,49,all
amaz_match_wow,49,630,49,all
match_wow_rt,49,631,49,all
wow_rt_yes,49,632,49,all
rt_yes_just,49,633,49,all
yes_just_scream,49,634,49,all
just_scream_scare,49,635,49,all
scream_scare_dog,49,636,49,all
scare_dog_clap,49,637,49,all
dog_clap_hard,49,638,49,all
clap_hard_hand,49,639,49,all
hard_hand_hurt,49,640,49,all
hand_hurt_fun,49,641,49,all
hurt_fun_morn,49,642,49,all
anyon_leopard_whatev,49,643,49,all
leopard_whatev_updat,49,644,49,all
whatev_updat_mac,49,645,49,all
updat_mac_comput,49,646,49,all
line_space_mountain,49,647,49,all
space_mountain_pink,49,648,49,all
mountain_pink_sequin,49,649,49,all
pink_sequin_minni,49,650,49,all
sequin_minni_ear,49,651,49,all
hilari_cant_snl,49,652,49,all
cant_snl_funni,49,653,49,all
snl_funni_everi,49,654,49,all
funni_everi_week,49,655,49,all
drive_wrigley_way,49,656,49,all
wrigley_way_twin,49,657,49,all
way_twin_anchor,49,658,49,all
twin_anchor_rawk,49,659,49,all
rail_still_tri,49,660,49,all
still_tri_decid,49,661,49,all
tri_decid_front,49,662,49,all
decid_front_end,49,663,49,all
front_end_compat,49,664,49,all
sorri_everyon_im,49,665,49,all
everyon_im_hack,49,666,49,all
im_hack_one,49,667,49,all
hack_one_post,49,668,49,all
one_post_lose,49,669,49,all
post_lose_weight,49,670,49,all
lose_weight_stuff,49,671,49,all
yeaaaaahhhhhhh_buddi_even,49,672,49,all
buddi_even_though,49,673,49,all
even_though_now,49,674,49,all
though_now_sore,49,675,49,all
now_sore_throat,49,676,49,all
sore_throat_bo,49,677,49,all
crazi_season_seen,48,678,48,all
season_seen_episod,48,679,48,all
seen_episod_#holyshit,48,680,48,all
episod_#holyshit_montag,48,681,48,all
#holyshit_montag_hilari,48,682,48,all
rt_appar_gone,48,683,48,all
appar_gone_box,48,684,48,all
gone_box_offic,48,685,48,all
box_offic_order,48,686,48,all
offic_order_ticket,48,687,48,all
order_ticket_person,48,688,48,all
ticket_person_like,48,689,48,all
person_like_savag,48,690,48,all
like_savag_earli,48,691,48,all
savag_earli_1990s,48,692,48,all
twitter_account_pinterest,48,693,48,all
#slpeep_level_use,48,694,48,all
level_use_linkedin,48,695,48,all
use_linkedin_googl,48,696,48,all
linkedin_googl_compar,48,697,48,all
googl_compar_fb,48,698,48,all
compar_fb_twitter,48,699,48,all
oh_even_irish,48,700,48,all
even_irish_scottish,48,701,48,all
irish_scottish_italian,48,702,48,all
scottish_italian_trip,48,703,48,all
italian_trip_haha,48,704,48,all
put_twitter_jail,48,705,48,all
heard_store_call,48,706,48,all
call_regard_kitchen,48,707,48,all
regard_kitchen_think,48,708,48,all
kitchen_think_someon,48,709,48,all
think_someon_open,48,710,48,all
someon_open_store,48,711,48,all
open_store_call,48,712,48,all
call_regard_kitten,48,713,48,all
thank_follow_back,48,714,48,all
psa_feel_lost,48,715,48,all
feel_lost_despair,48,716,48,all
lost_despair_know,48,717,48,all
despair_know_someon,48,718,48,all
know_someon_can,48,719,48,all
someon_can_help,48,720,48,all
can_help_name,48,721,48,all
help_name_jesus,48,722,48,all
oh_cool_go,48,723,48,all
cool_go_convo,48,724,48,all
go_convo_like,48,725,48,all
convo_like_noth,48,726,48,all
like_noth_better,48,727,48,all
noth_better_anyway,48,728,48,all
wow_mad_just,48,729,48,all
mad_just_kuz,48,730,48,all
just_kuz_peopl,48,731,48,all
kuz_peopl_say,48,732,48,all
peopl_say_u,48,733,48,all
say_u_ratchet,48,734,48,all
u_ratchet_#the,48,735,48,all
ratchet_#the_truth,48,736,48,all
#the_truth_hurt,48,737,48,all
u_ur_walkthrough,48,738,48,all
ur_walkthrough_wth,48,739,48,all
walkthrough_wth_face,48,740,48,all
wth_face_cam,48,741,48,all
face_cam_add,48,742,48,all
cam_add_experi,48,743,48,all
add_experi_watch,48,744,48,all
experi_watch_ur,48,745,48,all
watch_ur_vid,48,746,48,all
ur_vid_funni,48,747,48,all
vid_funni_man,48,748,48,all
till_june_6th,48,749,48,all
june_6th_psych,48,750,48,all
6th_psych_say,48,751,48,all
psych_say_got,48,752,48,all
say_got_us,48,753,48,all
got_us_killer,48,754,48,all
us_killer_show,48,755,48,all
killer_show_w,48,756,48,all
show_w_allston,48,757,48,all
w_allston_mass,48,758,48,all
nice_assist_astro,48,759,48,all
assist_astro_run,48,760,48,all
astro_run_earlier,48,761,48,all
ticket_avail_door,48,762,48,all
avail_door_miss,48,763,48,all
door_miss_go,48,764,48,all
miss_go_amaz,48,765,48,all
go_amaz_night,48,766,48,all
amaz_night_fantast,48,767,48,all
night_fantast_speaker,48,768,48,all
yes_communic_problem,48,769,48,all
communic_problem_lol,48,770,48,all
problem_lol_great,48,771,48,all
lol_great_builder,48,772,48,all
great_builder_gourmet,48,773,48,all
builder_gourmet_night,48,774,48,all
gourmet_night_fav,48,775,48,all
must_school_start,48,776,48,all
school_start_next,48,777,48,all
sun_rise_new,48,778,48,all
rise_new_week,48,779,48,all
new_week_sun,48,780,48,all
week_sun_also,48,781,48,all
sun_also_set,48,782,48,all
also_set_arista,48,783,48,all
set_arista_j,48,784,48,all
